 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000      0.999895811    
   2.62500000      0.998020232    
   2.87500000      0.991143048    
   3.12500000      0.988329709    
   3.37500000      0.983119726    
   3.62500000      0.970615804    
   3.87500000      0.961654663    
   4.12500000      0.951755762    
   4.37500000      0.942586243    
   4.62500000      0.930811703    
   4.87500000      0.922059000    
   5.12500000      0.908617258    
   5.37500000      0.847452343    
   5.62500000      0.842033982    
   5.87500000      0.837032378    
   6.12500000      0.831614017    
   6.37500000      0.824215889    
   6.62500000      0.815046370    
   6.87500000      0.807544053    
   7.12500000      0.799208105    
   7.37500000      0.792851925    
   7.62500000      0.785141170    
   7.87500000      0.779306054    
   8.12500000      0.773575068    
   8.37500000      0.764405549    
   8.62500000      0.755757034    
   8.87500000      0.743148923    
   9.12500000      0.734396160    
   9.37500000      0.725435019    
   9.62500000      0.712931097    
   9.87500000      0.698447406    
   10.1250000      0.685526729    
   10.3750000      0.673543811    
   10.6250000      0.660518885    
   10.8750000      0.475252688    
   11.1250000      0.404918194    
   11.3750000      0.399916649    
   11.6250000      0.395436078    
   11.8750000      0.389079928    
   12.1250000      0.384182543    
   12.3750000      0.379180998    
   12.6250000      0.279358119    
   12.8750000       0.00000000    
   13.1250000       0.00000000    
   13.3750000       0.00000000    
   13.6250000       0.00000000    
   13.8750000       0.00000000    
   14.1250000       0.00000000    
   14.3750000       0.00000000    
   14.6250000       0.00000000    
   14.8750000       0.00000000    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
