Refcode  Volume(A3) Mass(g/mol) Density(g/cm3)  FHe,T(-) FG,T(-) FHe,A(-) FG,A(-)  SAC,T(A2) SAC,T(m2/cm3) SAC,T(m2/g) SAC,A(A2) SAC,A(m2/cm3) SAC,A(m2/g)  VPO,T(A3) VPO,T(cm3/g) FPO,T(-) VPO,A(A3) VPO,A(cm3/g) FPO,A(-)  Accesibility Porosity   PLD(A) LCD(A)     Dimensionality     Year
ABAVIJ    23766.906  21812.184  1.524      0.228104  0.355959  0.228104  0.355959      19.39  8.16  5.35  0.00  0.00  0.00      3420.39626  0.094  0.14391  0.00000  0.000  0.00000       No  No  1.81  4.19  1D    2004
ABAXIN    39131.287  34741.728  1.474      0.181924  0.360130  0.181924  0.360130      35.86  9.16  6.22  0.00  0.00  0.00      4727.98975  0.082  0.12082  0.00000  0.000  0.00000       No  No  1.31  4.29  1D    2016
ABAZAF01    27146.343  20515.392  1.255      0.300517  0.433582  0.300517  0.433582      179.00  65.94  52.54  0.00  0.00  0.00      5779.15715  0.170  0.21289  0.00000  0.000  0.00000       No  No  1.40  4.56  3D    2013
ABAZAF    40666.897  30773.088  1.257      0.288481  0.428755  0.288481  0.428755      251.82  61.92  49.28  0.00  0.00  0.00      8655.31308  0.169  0.21283  0.00000  0.000  0.00000       No  No  1.53  4.34  2D    2004
ABAZEI    23559.040  15738.080  1.109      0.208772  0.413928  0.208772  0.413928      18.12  7.69  6.93  0.00  0.00  0.00      3708.58920  0.142  0.15742  0.00000  0.000  0.00000       No  No  1.80  4.16  1D    2001
ABEFUL    27951.717  26092.639  1.550      0.252496  0.380839  0.252496  0.380839      142.57  51.01  32.90  0.00  0.00  0.00      4414.53215  0.102  0.15793  0.00000  0.000  0.00000       No  No  3.02  4.56  1D    2016
ABEXEM    47394.798  54132.408  1.897      0.228263  0.397936  0.228263  0.397936      42.70  9.01  4.75  0.00  0.00  0.00      9552.64469  0.106  0.20155  0.00000  0.000  0.00000       No  No  2.98  4.22  1D    2011
ABEXIQ    46846.645  54306.720  1.925      0.224454  0.394317  0.224454  0.394317      10.32  2.20  1.14  0.00  0.00  0.00      9147.55404  0.101  0.19527  0.00000  0.000  0.00000       No  No  2.91  4.12  1D    2011
ABIREJ    24681.455  22165.363  1.491      0.282949  0.461778  0.282949  0.461778      19.43  7.87  5.28  0.00  0.00  0.00      5959.67654  0.162  0.24146  0.00000  0.000  0.00000       No  No  2.57  4.20  1D    2005
ABIXEP    36127.736  32334.592  1.486      0.411588  0.522024  0.411588  0.522024      2999.31  830.20  558.60  2985.08  826.26  555.96      13624.14517  0.254  0.37711  13461.95297  0.251  0.37262       Yes  Yes  4.59  6.49  1D    2005
ABOBUQ    39051.873  33776.922  1.436      0.352576  0.485980  0.352576  0.485980      389.82  99.82  69.50  147.38  37.74  26.28      11075.82819  0.197  0.28362  4141.09957  0.074  0.10604       Yes  Yes  3.39  4.29  1D    2012
ABOCAV    31193.482  29149.898  1.552      0.149363  0.356105  0.149363  0.356105      15.51  4.97  3.20  0.00  0.00  0.00      3211.37358  0.066  0.10295  0.00000  0.000  0.00000       No  No  1.26  4.12  1D    2001
ABOWIA    48997.301  24169.968  0.819      0.593097  0.642783  0.593097  0.642783      3695.04  754.13  920.65  3689.06  752.91  919.16      27822.39991  0.693  0.56784  27390.92280  0.682  0.55903       Yes  Yes  3.29  5.61  1D    2016
ABUBOQ    34859.703  50491.008  2.405      0.199094  0.410581  0.199094  0.410581      77.55  22.25  9.25  0.00  0.00  0.00      6341.97210  0.076  0.18193  0.00000  0.000  0.00000       No  No  2.64  4.31  2D    2012
ABULAL    39980.646  35697.053  1.483      0.352357  0.481693  0.352357  0.481693      866.92  216.83  146.25  0.00  0.00  0.00      10636.42759  0.179  0.26604  0.00000  0.000  0.00000       No  No  3.21  4.85  1D    2005
ABULUG    27255.281  5862.800  0.357      0.843427  0.847058  0.843427  0.847058      5720.25  2098.77  5875.72  5811.14  2132.11  5969.07      22417.31226  2.303  0.82249  22438.09041  2.305  0.82326       Yes  Yes  9.28  10.56  1D    2011
ACAFAN    43733.407  33611.782  1.276      0.312691  0.472367  0.312691  0.472367      574.46  131.35  102.92  0.00  0.00  0.00      9831.26404  0.176  0.22480  0.00000  0.000  0.00000       No  No  2.52  4.76  2D    2013
ACAFER    36685.871  28964.096  1.311      0.281693  0.439886  0.281693  0.439886      171.35  46.71  35.63  0.00  0.00  0.00      7245.79626  0.151  0.19751  0.00000  0.000  0.00000       No  No  2.20  4.39  1D    2013
ACAFIT    28423.754  29562.084  1.727      0.252705  0.430777  0.252705  0.430777      261.02  91.83  53.17  0.00  0.00  0.00      5520.96323  0.112  0.19424  0.00000  0.000  0.00000       No  No  2.71  4.63  1D    2001
ACAFIV    52560.254  41362.872  1.307      0.220140  0.432412  0.220140  0.432412      2.91  0.55  0.42  3.29  0.63  0.48      6561.49731  0.096  0.12484  6511.49629  0.095  0.12389       Yes  Yes  2.04  4.08  1D    2013
ACAFOB    52758.420  41362.872  1.302      0.227771  0.435365  0.227771  0.435365      6.64  1.26  0.97  0.00  0.00  0.00      6814.96179  0.099  0.12917  0.00000  0.000  0.00000       No  No  1.92  4.11  1D    2013
ACAFOZ    30132.507  29562.084  1.629      0.332395  0.461448  0.332395  0.461448      732.51  243.10  149.22  0.00  0.00  0.00      7419.49195  0.151  0.24623  0.00000  0.000  0.00000       No  No  3.13  4.91  1D    2001
ACAGAM    30656.715  43274.520  2.344      0.130389  0.373704  0.130389  0.373704      214.70  70.03  29.88  0.00  0.00  0.00      3291.46856  0.046  0.10737  0.00000  0.000  0.00000       No  No  2.08  4.79  1D    2001
